"","Spp_ID","Binomial","No.Records","No.Localities","Body_mass.g.n","Body_mass.g.mean","Body_mass.g.sd","Body_mass.g.median","Body_mass.g.min","Body_mass.g.max","Body_mass.g.se","Body_length.mm.n","Body_length.mm.mean","Body_length.mm.sd","Body_length.mm.median","Body_length.mm.min","Body_length.mm.max","Body_length.mm.se","Wing_length.mm.n","Wing_length.mm.mean","Wing_length.mm.sd","Wing_length.mm.median","Wing_length.mm.min","Wing_length.mm.max","Wing_length.mm.se","Tail_length.mm.n","Tail_length.mm.mean","Tail_length.mm.sd","Tail_length.mm.median","Tail_length.mm.min","Tail_length.mm.max","Tail_length.mm.se","Tarsus_length.mm.n","Tarsus_length.mm.mean","Tarsus_length.mm.sd","Tarsus_length.mm.median","Tarsus_length.mm.min","Tarsus_length.mm.max","Tarsus_length.mm.se","Bill_length.mm.n","Bill_length.mm.mean","Bill_length.mm.sd","Bill_length.mm.median","Bill_length.mm.min","Bill_length.mm.max","Bill_length.mm.se","Bill_depth.mm.n","Bill_depth.mm.mean","Bill_depth.mm.sd","Bill_depth.mm.median","Bill_depth.mm.min","Bill_depth.mm.max","Bill_depth.mm.se","Bill_width.mm.n","Bill_width.mm.mean","Bill_width.mm.sd","Bill_width.mm.median","Bill_width.mm.min","Bill_width.mm.max","Bill_width.mm.se"
"14",14,"Tachyphonus coronatus",1017,189,914,27.51,6.09,27,8,160,0.2,481,178.52,13.18,181,86,205,0.6,331,81.49,6.88,82,49,120,0.38,746,75.38,7.14,75.35,25,153,0.26,352,23.07,3.51,22.6,11.5,44.5,0.19,665,15.4,2.16,15.3,8.9,28.8,0.08,221,7.99,2.22,7.8,3.2,34.6,0.15,243,8.9,2.34,8.7,1.6,22.6,0.15
"15",15,"Haplospiza unicolor",952,114,879,15.11,2.27,15,2,38.5,0.08,217,132.11,7.43,132,110,152,0.5,88,62.2,4.39,63,39,69,0.47,593,52.61,5.41,51,42,74,0.22,213,19.21,2.06,19,13,27.6,0.14,666,11.12,7.11,10.6,7,137,0.28,232,6.78,1.12,6.7,4.6,21.3,0.07,260,6.33,1.04,6.4,4,10.7,0.06
"16",16,"Xiphorhynchus fuscus",946,176,862,21.6,7.43,20,9,182,0.25,540,180.15,18.88,180,72,486,0.81,247,79.68,8.13,78,50,110,0.52,731,71.86,6.02,72,42,91,0.22,334,19.36,2.29,19.1,12,40.6,0.13,696,23.94,3.34,23.8,5.9,36,0.13,297,5.63,0.99,5.4,3.5,10.2,0.06,301,8.41,2.73,8.5,3.88,18.9,0.16
"17",17,"Tangara cayana",839,139,650,19.44,2.25,19.27,4,47.5,0.09,200,186.35,76.87,145,114.31,349,5.44,501,72.75,3.12,73,52.5,80.8,0.14,592,53.94,21.68,52.5,20,555,0.89,390,16.28,2.37,16.02,10.81,23.35,0.12,474,13.68,3.51,11.62,7.8,19.2,0.16,109,6.07,0.83,5.97,5,12.7,0.08,109,7.9,1.16,7.7,5.1,13,0.11
"18",18,"Pyriglena leucoptera",831,134,742,28.86,4.38,29,7,93,0.16,414,180.98,14.19,182,68,210,0.7,114,77.53,4.2,77.55,70,96,0.39,574,76.8,7.4,77,20,160,0.31,261,30.85,2.78,31,17,39.2,0.17,618,15.97,9.7,15.6,7,202,0.39,135,5.63,1.24,5.3,3.71,14.3,0.11,133,7.42,1.9,7.38,2,12.9,0.16
"19",19,"Sittasomus griseicapillus",830,174,760,12.93,3.14,13,4,47,0.11,386,157.25,17.91,155,122,330,0.91,164,75.02,14.84,74,51,250,1.16,538,73.63,6.72,74,43,89,0.29,247,17.95,2.07,18,11,32.6,0.13,560,11.96,4.44,11.8,7,104,0.19,216,3.81,1,3.6,2.48,13.95,0.07,224,6.92,1.92,6.88,3.3,18.9,0.13
"20",20,"Thalurania glaucopis",793,137,701,4.84,2.56,4.5,2,50,0.1,338,107.96,11.66,107,80,170,0.63,218,55.13,4.7,55,35,65,0.32,570,42.53,8.46,41,20,107,0.35,12,15.09,10.56,12.25,6.6,44,3.05,599,18.78,2.95,18.6,10,58,0.12,153,2.21,0.31,2.1,1.5,3.74,0.03,153,3.84,1.07,3.7,2,13.5,0.09
"21",21,"Zonotrichia capensis",749,115,664,21.11,2.43,21,8.5,38,0.09,233,152.66,9.86,155,113,172,0.65,266,67.15,4.39,67,55,85,0.27,513,61.42,5.21,61.5,37,74,0.23,279,22.67,1.5,22.6,13.4,28.8,0.09,375,12.52,1.61,12.5,9.2,27,0.08,62,6.88,0.67,6.8,5.2,9.3,0.08,62,6.49,1.07,6.3,4.92,9.3,0.14
"22",22,"Neopelma pallescens",725,29,705,17.41,2.21,17,6,30,0.08,339,242.55,95.01,180,126,375,5.16,121,74.88,3.68,75,58,81.4,0.33,346,60.46,4.29,60,48,81,0.23,113,16.94,1.59,17,7.9,23,0.15,256,12.61,1.64,12.4,10,25,0.1,274,4.79,0.67,4.7,3.9,10.2,0.04,278,8.18,1.8,7.89,3.9,11.85,0.11
"23",23,"Mionectes rufiventris",676,139,630,13.81,1.94,14,4.5,43,0.08,419,140.18,8.54,142,110,158,0.42,105,66.54,4.5,66,50.8,76,0.44,510,55.04,4.46,55,35,73,0.2,162,17.27,2,17,11.6,24,0.16,509,11.52,3.56,11.4,7,85,0.16,145,4.25,1.11,4,3,10.7,0.09,152,7.2,1.76,7.1,3.8,12.5,0.14
"24",24,"Manacus manacus",672,131,620,15.97,2.8,16,8,63,0.11,375,116.82,14.72,118,62,285,0.76,229,52.53,5.25,53,35,71,0.35,513,36.56,4.67,36,20,71,0.21,227,20.76,6.89,20.56,11.4,119.9,0.46,526,10.87,1.99,10.5,6.1,30.6,0.09,150,4.63,2.85,4.13,3.5,37,0.23,206,8.18,1.79,8.2,2.3,17.3,0.12
"25",25,"Dysithamnus mentalis",598,144,549,12.63,3.03,12,5.5,56,0.13,393,119.01,13.94,120,81,330,0.7,137,58.71,4.29,59,46,90,0.37,447,42.36,3.61,42.3,28,63,0.17,205,19.29,2.03,19.1,11,29.2,0.14,430,13.65,2.44,13.9,5.9,32,0.12,186,4.78,0.96,4.6,3.34,12.4,0.07,190,7.03,1.99,6.7,3.7,15.2,0.14
"26",26,"Habia rubica",582,115,505,34.82,5.41,34.4,15,79,0.24,280,195.2,13.76,195.5,100,263.5,0.82,155,90.78,6.22,91,72,109,0.5,415,86.49,8.1,87,61.9,189,0.4,191,26.78,2.89,26.2,17,33,0.21,392,15.84,2.5,16.25,7.5,23.55,0.13,164,9.09,1.2,8.97,3.7,18.65,0.09,176,9.79,1.66,10,6.98,16,0.13
"27",27,"Thamnophilus caerulescens",579,145,532,22.11,4.26,21,9,41,0.18,263,153.69,13.78,155,59,197,0.85,76,69.59,4.79,70,53,80.5,0.55,308,64.66,5.4,65,33,83,0.31,138,24.14,3.87,23.83,15.7,55.4,0.33,289,15.27,2.15,15.2,6.2,23.5,0.13,75,6.5,1.45,6.1,4.9,11.95,0.17,81,8.98,3.01,8.9,1.5,19.9,0.33
"28",28,"Myiothlypis leucoblephara",568,96,516,15.57,2.71,15.2,3.5,46,0.12,188,146.03,10.08,146,120,199,0.73,118,64.54,3.56,65,55,80,0.33,419,61.72,4.62,61.9,22.9,73,0.23,250,24.89,3.96,24.6,14.6,64.5,0.25,315,11.31,2.05,11.4,6.3,21.9,0.12,92,3.85,1.1,3.68,2.57,13.2,0.11,101,5.31,1.73,5,2.89,12.9,0.17
"29",29,"Schiffornis virescens",560,119,507,24.64,3.93,24.5,10,54,0.17,274,163.8,10.12,165,77,181,0.61,80,79.92,4.3,80,55,89,0.48,393,66.23,4.66,66,52.3,82,0.23,145,22.54,2.46,22,13.8,36.3,0.2,385,11.69,5.11,11.4,5,96,0.26,104,5.02,0.78,4.93,4,11.8,0.08,119,7.98,2.29,8,3.76,13.9,0.21
"30",30,"Columbina talpacoti",550,77,520,47.53,8.77,47,7.1,134,0.38,237,180.97,39.91,173,101,367,2.59,193,89.1,7.92,90,56,140,0.57,387,70.44,11.78,67.1,23,98,0.6,247,18.13,5.16,17.6,8.02,90,0.33,307,13.27,1.72,13.07,9,35,0.1,136,4.79,1.93,4.6,3,24.7,0.17,149,5.01,1.08,5,2.64,9,0.09
"31",31,"Cnemotriccus fuscatus",541,69,517,12.96,2.23,13,6,44,0.1,233,150.65,19.97,150,80,331,1.31,45,67.09,4.81,69,55,77,0.72,246,64.37,7.31,65,19.8,137,0.47,41,18.36,1.93,18.2,14,23,0.3,212,13.42,1.95,13.29,9.4,24.3,0.13,81,4.18,0.59,4.09,3,7.9,0.07,81,6.67,1.43,6.41,3.91,11.26,0.16
"32",32,"Myiothlypis flaveola",532,104,490,13.22,2.01,13,6,32,0.09,314,150.05,77.73,141,59,1410,4.39,201,64.8,8.07,65,50.9,165,0.57,335,63.47,34.05,61,35,660,1.86,193,24.07,14.57,23,12.3,221.9,1.05,273,13.24,8.56,12.3,8.6,150,0.52,285,3.99,0.69,3.9,2.9,9.7,0.04,288,6.14,1.44,6,3.5,10.6,0.08
"33",33,"Leptopogon amaurocephalus",524,160,489,12.31,2.67,12,6,43.5,0.12,321,138.58,9.44,140,94,175,0.53,103,64.87,5.8,65,50,90,0.57,397,58.47,4.34,58.9,39,73,0.22,109,16.8,5.36,16.1,8.5,62,0.51,361,12.59,1.58,12.8,7.1,22.2,0.08,149,4.23,0.67,4.1,2.2,8.17,0.05,156,6.48,1.91,6.29,3.5,13.7,0.15
"34",34,"Pitangus sulphuratus",518,103,493,61.73,7.64,62,34,97,0.34,141,231.63,26.95,235,65,272,2.27,194,118.33,8.9,120,50,140.5,0.64,351,97.19,16.18,93,27.35,132,0.86,279,28.32,6.45,27.96,19,128,0.39,293,29.07,2.86,29.6,16.1,35,0.17,104,9.76,1.83,9.5,4.6,19.6,0.18,125,13.21,3.31,13.6,8,38.9,0.3
"35",35,"Geothlypis aequinoctialis",487,61,437,12.29,4.4,12,4,64,0.21,82,139.56,8.44,142,110.6,155,0.93,207,56.47,3.24,56,49,68.4,0.22,433,54.64,5.18,55,33,119,0.25,261,21.72,1.83,21.5,10.2,28,0.11,288,12.88,1.75,13.1,9.1,22.7,0.1,13,4.55,1,4.4,3.45,7.6,0.28,14,6.28,1.44,6.35,4.07,9.8,0.38
"36",36,"Dendrocygna viduata",465,1,465,815.91,86.07,820,560,1180,3.99,464,94.61,2.78,94.9,86,104,0.13,77,225.92,15.12,229,145,246,1.72,452,62.15,3.99,62,30,78,0.19,465,55.55,2.88,55.2,48.1,73.8,0.13,465,48.5,2.26,48.5,41.9,59,0.1,0,NA,NA,NA,Inf,-Inf,NA,0,NA,NA,NA,Inf,-Inf,NA
"37",37,"Lathrotriccus euleri",463,134,416,11.6,2.79,11,7,57,0.14,194,137.04,10.32,136,95,165,0.74,120,64.99,3.84,65,48,74.9,0.35,343,59.15,5.47,59,32.7,77,0.3,186,16.03,4.71,15.4,9.4,72,0.35,299,12.3,3.94,12,7.6,73.51,0.23,137,3.88,0.52,3.8,3,6.05,0.04,144,6.86,1.38,6.6,4.8,12,0.12
"38",38,"Hemitriccus margaritaceiventer",442,28,427,7.85,1.46,8,5,26,0.07,63,167,88.36,115,85.62,338,11.13,22,48.18,3.9,49.5,36,53,0.83,60,40.21,5.26,40,30,57,0.68,22,19.67,1.67,19.4,16.7,23.4,0.36,50,12.13,1.26,12.05,8.4,14.7,0.18,44,3.77,0.62,3.6,2.8,5.89,0.09,44,6.05,1.19,5.85,3.3,9.3,0.18
"39",39,"Dendrocincla turdina",436,105,398,37.97,4.66,38,20,80,0.23,284,216.77,14.12,220,160,270,0.84,56,104.4,7.26,105,80,125,0.97,343,90.33,7.82,90.25,70,170,0.42,85,24.15,1.89,24,20,29.7,0.2,339,23.66,2.85,24,8.1,32.5,0.15,128,7.06,1.63,6.8,5.53,20,0.14,120,9.77,2.57,8.93,2.2,19.8,0.23
"40",40,"Amazilia fimbriata",411,108,302,4.96,1.17,5,2,10,0.07,109,105.32,44.73,98,78,342,4.28,204,55.34,3.55,55.85,44.2,65,0.25,278,33.81,4.02,34.4,22,54,0.24,9,15.44,14.24,7,6.6,47,4.75,113,21.03,3,21.4,5.1,30.8,0.28,57,2.61,0.48,2.6,1.8,4,0.06,57,4.62,0.99,4.7,1.93,6.9,0.13
"41",41,"Thamnophilus pelzelni",408,39,338,19.59,2.55,19,12.5,50,0.14,283,168.15,118.21,149,130,1440,7.03,28,66.91,2.53,67,63,73,0.48,265,59.32,33.49,57,45,600,2.06,28,23.15,2.03,22.95,17.6,28.4,0.38,246,16.23,2.41,16,11,27.2,0.15,40,6.45,0.41,6.4,5.8,7.55,0.07,41,9.12,1.59,9.5,5.9,11.8,0.25
"42",42,"Vireo olivaceus",384,77,336,14.61,2.16,14.62,8.5,31,0.12,162,166.02,68.87,146.5,102,377,5.41,61,70.22,5.48,71,50,81,0.7,241,53.01,7.19,52,41,128,0.46,66,20.33,6.15,19.4,17,68,0.76,217,13.27,2.09,13,10.1,35.2,0.14,81,4.64,0.7,4.5,4,9.9,0.08,83,7.23,2.12,6.9,4,18.9,0.23
"43",43,"Drymophila squamata",382,92,96,10.16,1.47,10,8,20.5,0.15,70,126.55,10.17,126.5,110,148,1.22,18,57.3,23.81,52.15,46,152,5.61,359,52.73,2.5,52.78,42.15,59.95,0.13,22,19.8,1.82,20,13.6,23,0.39,339,13.46,1.47,13.36,7.9,23,0.08,306,3.47,0.39,3.42,2.69,7.6,0.02,316,3.87,0.85,3.7,2.75,8.68,0.05
"44",44,"Turdus flavipes",380,84,365,60.37,7.32,60,33,91,0.38,220,216.68,14.47,215.5,170,290,0.98,120,112.03,6.92,112,80,140,0.63,274,91.23,8.94,90,33,118,0.54,148,28.19,3.87,27.4,20.3,52.9,0.32,180,17.57,1.65,17.8,11.6,23,0.12,163,7.01,1.12,6.7,5,12.2,0.09,166,11.81,2.82,12,5.5,25.8,0.22
"45",45,"Conopophaga melanops",374,90,336,20.74,10.15,20,4,198,0.55,198,112.02,9.55,111,94,169,0.68,93,63.81,3.74,64,55,79.6,0.39,243,31.51,8.32,30,21,70,0.53,122,27.28,2.51,27.2,16.9,33.5,0.23,260,13.56,2.61,13.6,5,22,0.16,144,4.65,1.03,4.4,3,11,0.09,135,8.18,1.94,8,4.1,12.1,0.17
"46",46,"Phaethornis eurynome",373,88,325,5.41,3.96,5,2.5,55,0.22,159,149.52,11.52,151,100,176,0.91,39,57.4,4.45,57,47.3,73,0.71,215,66.05,6.92,67,40,80,0.47,10,31.47,16.4,30,6.7,67,5.19,248,32.61,4.91,32.25,8.5,92,0.31,79,2.92,0.62,2.8,2.1,6.7,0.07,82,4.26,0.72,4.2,2.9,6.5,0.08
"47",47,"Philydor atricapillus",371,66,339,22.45,4.29,22,14,53.5,0.23,216,172.6,11.01,172,136,195,0.75,79,82.6,16.08,80,70,177,1.81,286,75.52,5.12,75.45,55,93,0.3,100,20.68,2.47,20.91,14.2,30,0.25,292,16.07,2.23,16.5,5.9,21,0.13,111,5.93,0.66,5.9,4.8,9,0.06,108,7.62,1.8,7.85,3.6,11.7,0.17
"48",48,"Dacnis cayana",369,66,339,13.36,2.24,13,7.5,43.5,0.12,110,162.08,76.6,127,92,397,7.3,43,63.01,3.63,63,53,72,0.55,126,44.19,4.43,44.2,22,64,0.39,38,17.43,1.68,17.5,13,21,0.27,88,13.3,1.49,13.25,9.9,18.8,0.16,60,4.49,0.6,4.4,3.4,6.9,0.08,62,6.6,1.66,6.46,3.6,14.8,0.21
"49",49,"Hylophilus amaurocephalus",350,27,332,9.11,1.26,9,6.5,17.5,0.07,40,135.38,47.85,123,110,336,7.57,15,53.69,3.11,53.5,50,62,0.8,21,49.9,5,49,40,57,1.09,13,16.86,0.88,16.9,15,18.1,0.25,18,11.19,1.41,11.35,8,14.7,0.33,15,5.02,2.72,4.3,3.7,14.78,0.7,18,6.04,0.9,5.89,4.8,7.81,0.21
"50",50,"Pipra fasciicauda",350,25,266,16.29,6.58,16,6,116,0.4,278,118.12,60.34,114.75,98,1115,3.62,17,63.94,1.6,64,61,66,0.39,282,31.21,11.74,30.5,20,225,0.7,17,17.46,0.54,17.41,16.31,18.27,0.13,243,10.73,1.37,10.3,8.75,17,0.09,108,4.12,0.82,4,2.82,12.1,0.08,109,5.24,1.89,4.5,3.24,10.82,0.18
"51",51,"Automolus leucophthalmus",344,96,304,33.75,5.03,33,20,68,0.29,205,192.04,17.47,195,67,221,1.22,112,86.56,4,87,77,95,0.38,248,82.41,13.26,81.83,24.4,188,0.84,140,26.11,10.66,24.2,20,124,0.9,257,20.01,3.25,20.4,7.1,32.9,0.2,118,7.01,1.11,6.9,3.95,12.4,0.1,119,8.23,2.47,8.6,4.5,14.3,0.23
"52",52,"Arremon flavirostris",343,47,295,26.66,2.82,27,14,35,0.16,203,159.15,10.22,159,118,183,0.72,96,75.75,4.11,76,66,87,0.42,213,66.66,5.4,67,37,83,0.37,94,25.9,2.75,26,7.7,33,0.28,221,13.74,1.7,13.3,10.5,19.2,0.11,100,7.86,0.78,8,3.1,9.3,0.08,101,7.74,1.01,7.8,4,11.48,0.1
"53",53,"Sicalis flaveola",337,52,229,17.99,3.92,18.2,8.5,50,0.26,155,123.57,9.1,123,85,149,0.73,237,61.39,8.88,64.63,45.17,90,0.58,249,57.21,10.97,53.28,20,85,0.69,168,19.92,2.44,19.66,14.4,35.3,0.19,127,9.77,1.93,9.46,6.25,22.8,0.17,155,6.92,0.75,6.85,5,12.1,0.06,158,6.22,1.14,5.85,4.66,11.4,0.09
"54",54,"Synallaxis ruficapilla",333,91,285,14.32,2.42,14,4,35.5,0.14,121,159.08,11.75,162,108,177,1.07,57,56.21,3.51,56,50,74,0.47,188,75.17,9.16,77,41,92,0.67,77,21.67,1.9,21.2,16,25,0.22,192,12.1,2.08,12.1,8,20.7,0.15,28,4.01,0.77,3.94,2.15,6,0.15,44,7.03,2,7.11,2.18,11.3,0.3
"55",55,"Tangara sayaca",331,95,291,33.97,4.63,33.5,22,60,0.27,123,169.7,13.08,170,115,198,1.18,140,90.44,7.29,91,63,125,0.62,217,66.81,8.96,66,22.4,101,0.61,146,21.41,2.32,21.3,12.1,28,0.19,175,14.49,4.37,14.2,8.1,66,0.33,97,7.43,0.82,7.38,5.1,11.1,0.08,109,8.02,1.6,7.7,5.8,11.7,0.15
"56",56,"Cyclarhis gujanensis",330,79,308,27.41,3.41,27.5,10,39.5,0.19,115,172.87,44.05,170,131,378,4.11,52,75.81,5.26,78,63,85,0.73,174,68.49,6.98,69.75,42,84,0.53,72,24.02,2.23,24.33,16,28.4,0.26,158,16.3,2.12,16.4,9.8,28.2,0.17,56,9.34,1.15,9.08,7.9,15,0.15,61,9.13,2.79,8.71,4.56,19.4,0.36
"57",57,"Troglodytes aedon",326,94,273,12.12,2.81,12,5,40,0.17,70,119.34,10.03,120,86,137,1.2,143,51.07,3.75,51,35,74,0.31,215,43.47,5.64,43,28,96,0.38,158,18.51,1.95,18.35,12,28.4,0.16,146,14.81,11.5,13.68,7.4,151,0.95,67,4.13,4.93,3.2,2.3,42,0.6,66,4.79,2.12,3.9,2.31,9.8,0.26
"58",58,"Cantorchilus longirostris",323,19,308,18.54,1.61,18.5,12,23,0.09,51,160.8,12.1,162,130,180,1.69,159,65.27,3.1,65.5,58,71,0.25,191,52.32,3.54,52,40,61,0.26,141,23.24,0.95,23.35,20.7,26,0.08,177,22.96,1.68,23.1,16.75,27.6,0.13,24,4.5,0.8,4.55,1.9,6.3,0.16,24,6.25,1.47,6.38,3.5,8.8,0.3
"59",59,"Philydor rufum",315,132,69,25.97,3.07,26,18.7,32,0.37,49,195.49,21.6,200,108,250,3.09,272,86.18,3.96,86.3,75,96.6,0.24,274,89.95,4.08,90.3,71,99.7,0.25,267,21.27,1.21,21.1,12.8,28,0.07,288,22.03,2.23,22.7,11.8,24.6,0.13,264,5.89,0.33,5.9,5,8.1,0.02,24,7.9,1.68,8.1,5,10.4,0.34
"60",60,"Ramphodon naevius",311,37,258,8.05,1.53,8,4,22.5,0.1,191,149.08,13.29,148,112,205,0.96,73,71.17,6.59,71,61,110,0.77,234,52.58,4.49,52.2,38.8,72,0.29,3,25.2,15.99,31.6,7,37,9.23,243,33.22,2.63,33.1,18,39.1,0.17,30,4.48,0.84,4.35,2.9,6.8,0.15,27,6.25,1.13,6.1,3.6,8,0.22
"61",61,"Glaucis hirsutus",309,42,298,6.74,1.51,6.5,1.8,17.75,0.09,63,119.15,8.26,120,97,141,1.04,246,58.41,5.71,58,35,69,0.36,250,39.07,7.02,38,20,77,0.44,6,7.37,0.81,7.05,6.6,8.8,0.33,262,32.48,3.4,32.7,12.5,60.4,0.21,63,3.84,0.75,3.7,2,5.62,0.09,63,4.85,1.37,4.84,2.4,8.3,0.17
"62",62,"Chiroxiphia pareola",308,48,293,18.76,2.6,19,5,30,0.15,217,130.93,51.37,117,96,397,3.49,177,66.61,8.72,69.5,35,78,0.66,270,36.37,9.35,34.95,26,135,0.57,159,19.54,3.13,19.3,11.8,37.2,0.25,257,11.26,1.82,11.15,4.9,20.8,0.11,216,5.12,3.31,4.8,2,52,0.23,219,9.83,1.89,10.1,3.3,17.8,0.13
